2025-04-19 21:54:13,383 - INFO - [120, 250, 60]
2025-04-19 21:54:13,391 - INFO - {'windowsizes': [120, 60], 'p_values': [0.4917992815413769, 0.5414563109015395], 'cointegration_vectors': [(0.9864454525880128, -9.40261256058619), (0.9817654216497578, -10.335165795864222)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0594052605413045, -1.9527683711297756], 'adf_pvalues': [0.26114797063974016, 0.30765847691811465], 'residual_std': [3.550089836038118, 3.6404621389006877]}
2025-04-19 21:54:13,406 - INFO - {'windowsizes': [120, 60], 'p_values': [0.9179654407247646, 0.9824068308970438], 'cointegration_vectors': [(1.1932285326827992, -11.555387696533012), (1.3196830092296246, -24.287246502604365)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-0.8961268004780428, -0.1001230932442971], 'adf_pvalues': [0.7892452416665596, 0.9494262715513306], 'residual_std': [5.608849318066654, 6.777096395274448]}
2025-04-19 21:54:13,423 - INFO - {'windowsizes': [120, 60], 'p_values': [0.4649543738431144, 0.5207076895072749], 'cointegration_vectors': [(0.46833087802401574, -16.937546771624895), (0.4607670818123775, -16.069397701248523)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.6263140375902103, -1.9768683586161346], 'adf_pvalues': [0.46942067499299556, 0.2968066971985269], 'residual_std': [1.4024794865930112, 1.5267805433262511]}
2025-04-19 21:54:13,436 - INFO - {'windowsizes': [120, 60], 'p_values': [0.629995077176935, 0.8627038588912586], 'cointegration_vectors': [(0.0352040793107734, -2.210358758949144), (0.016255636143866353, -0.22068631338972208)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.787498264084118, -1.1462585028130168], 'adf_pvalues': [0.3866858844067298, 0.6962766516273524], 'residual_std': [0.17901629122025506, 0.15549628038426935]}
2025-04-19 21:54:13,448 - INFO - {'windowsizes': [120, 60], 'p_values': [0.9075406009977589, 0.845769005057319], 'cointegration_vectors': [(0.8880154880529738, 26.476414811563092), (0.941642175221277, 17.431909520940238)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-0.8481569404846973, -1.2001137180408321], 'adf_pvalues': [0.8045656279433682, 0.6735467913892788], 'residual_std': [1.9143072812312192, 0.8400827191213766]}
2025-04-19 21:54:13,461 - INFO - {'windowsizes': [120, 60], 'p_values': [0.12320689750800223, 0.8385040486494293], 'cointegration_vectors': [(0.6061895549643009, 124.70203598219562), (1.7185104018762023, 67.43227653532324)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.9010440140749165, -1.2347724262890887], 'adf_pvalues': [0.045226727467096675, 0.6584615459997682], 'residual_std': [6.3688671260345515, 6.190402587132442]}
2025-04-19 21:54:13,472 - INFO - {'windowsizes': [120, 60], 'p_values': [0.2009362775948591, 0.35028091885275137], 'cointegration_vectors': [(1.3570968036409, 104.36700214614609), (2.713988617382945, 52.07932711099296)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.6632861511689603, -2.365593889540071], 'adf_pvalues': [0.08060966505990141, 0.15168362625531517], 'residual_std': [5.784282701763439, 4.490087034288214]}
2025-04-19 21:54:13,487 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6410467595398621, 0.19387279833115606], 'cointegration_vectors': [(0.2980254127474941, -10.800979578431924), (0.25604359302285234, -1.673185647250001)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.2273687944511176, -2.6938833325010534], 'adf_pvalues': [0.6617129535321408, 0.07510271364945302], 'residual_std': [3.8531169194796915, 1.6733697334913433]}
2025-04-19 21:54:13,496 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5747544109917262, 0.5176850793377215], 'cointegration_vectors': [(1.6567262596193162, 20.64758631066997), (1.410500493777762, 31.274596732316002)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.9006903403046858, -2.0019352002721096], 'adf_pvalues': [0.3317364225741946, 0.2857252264669211], 'residual_std': [3.7879314902676255, 2.8091360936403724]}
2025-04-19 21:54:13,511 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6179099671723726, 0.3797740714757515], 'cointegration_vectors': [(0.470380617041931, 43.516572545646184), (0.41432314647564944, 47.64491327781547)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8158987259869346, -2.2723206814168027], 'adf_pvalues': [0.372597472826793, 0.1810505351513636], 'residual_std': [4.760584173031274, 4.197883746075163]}
2025-04-19 21:54:13,522 - INFO - {'windowsizes': [120, 60], 'p_values': [0.4348435261706716, 0.4094443754884948], 'cointegration_vectors': [(0.5238350912347042, 24.02371861449497), (0.45127199319164435, 32.220230268473735)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.1703842498885653, -2.2100752883398953], 'adf_pvalues': [0.21716927509852657, 0.20260905199123308], 'residual_std': [3.965154483878985, 3.445437694687598]}
2025-04-19 21:54:13,536 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5006876031573267, 0.2771129196092034], 'cointegration_vectors': [(0.5603131116964811, 27.701135452513952), (0.5189738669852548, 30.054610784778134)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0436649810687793, -2.482706701101151], 'adf_pvalues': [0.26776158921059334, 0.11973886822005064], 'residual_std': [4.194753957598669, 3.092472309804127]}
2025-04-19 21:54:13,570 - INFO - {'windowsizes': [120, 60], 'p_values': [0.33687657256720027, 0.6465510097011719], 'cointegration_vectors': [(1.860181165739539, 34.97719862571289), (1.9570146322953685, 29.9295889972297)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.366762831206628, -1.7490883264194137], 'adf_pvalues': [0.15133788884766625, 0.4060144783100574], 'residual_std': [3.366781701879561, 2.665227679908457]}
2025-04-19 21:54:13,586 - INFO - {'windowsizes': [120, 60], 'p_values': [0.8488168836506644, 0.814949943314231], 'cointegration_vectors': [(0.23095017676320398, -1.5247772364352514), (0.3678593183690957, -15.114941744953452)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.215652717217533, -1.328464984071855], 'adf_pvalues': [0.6668263249169891, 0.6160510474714544], 'residual_std': [1.6243820267666929, 1.5065785628726927]}
2025-04-19 21:54:13,601 - INFO - {'windowsizes': [120, 60], 'p_values': [0.29352038778175604, 0.14288897661794725], 'cointegration_vectors': [(1.7120810947757514, 51.212102571956684), (1.923016830369284, 46.369351061449116)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.460361373594439, -2.85714943321184], 'adf_pvalues': [0.12541905051790225, 0.0505626676442904], 'residual_std': [3.2379868731663946, 2.5305518447949824]}
2025-04-19 21:54:13,621 - INFO - {'windowsizes': [120, 60], 'p_values': [0.17388063963314776, 0.45086373357981935], 'cointegration_vectors': [(0.3874689156126346, 37.51105449818973), (0.36795994819119326, 40.80798716792241)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.764093970888221, -2.1299436405304455], 'adf_pvalues': [0.06358855084721521, 0.232645786327752], 'residual_std': [2.762126158307687, 2.4387197791009174]}
2025-04-19 21:54:13,641 - INFO - {'windowsizes': [120, 60], 'p_values': [0.34951644262082193, 0.5018098352559753], 'cointegration_vectors': [(0.7341976646370264, 73.3087898788063), (0.6142028674264249, 77.48514817973478)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.335229620264119, -2.030205649145255], 'adf_pvalues': [0.16085727068039873, 0.2734879938901471], 'residual_std': [4.056387277357257, 4.165772606346529]}
2025-04-19 21:54:13,665 - INFO - {'windowsizes': [120, 60], 'p_values': [0.05249621395850661, 0.5994768971635168], 'cointegration_vectors': [(19.660597137926853, 66.92338306969452), (24.1244536443485, 59.93824650209872)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-3.3027575357841767, -1.8361331346266119], 'adf_pvalues': [0.014755661632749712, 0.3626758169060214], 'residual_std': [3.604706998812327, 3.7563369832578615]}
2025-04-19 21:54:13,676 - INFO - {'windowsizes': [120, 60], 'p_values': [0.33655338758264186, 0.37183441429925157], 'cointegration_vectors': [(0.8197285449236751, 60.33825755090692), (0.8817566310553369, 58.2441656446115)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.3616409676811627, -2.282668664311559], 'adf_pvalues': [0.15285684970053853, 0.17761861050161748], 'residual_std': [3.673537856436707, 3.3445248214348013]}
2025-04-19 21:54:13,681 - INFO - {'windowsizes': [120, 60], 'p_values': [0.8009476395457129, 0.08524750565063616], 'cointegration_vectors': [(0.2294786439046257, 20.42973587754212), (0.32388724154087534, 7.955878725887161)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.348990119744029, -3.1136405698707152], 'adf_pvalues': [0.6064721679926186, 0.025560056247199942], 'residual_std': [2.2221618565170025, 1.8542999507938869]}
2025-04-19 21:54:13,710 - INFO - {'windowsizes': [120, 60], 'p_values': [0.40559853790331485, 0.2059245915625258], 'cointegration_vectors': [(2.2983831886185633, 35.35139706566476), (2.4847879674432467, 28.134603683922982)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.2273048371803115, -2.6612272544161932], 'adf_pvalues': [0.19648502801294743, 0.0809912894831572], 'residual_std': [5.939127197135723, 4.716648921243584]}
2025-04-19 21:54:13,727 - INFO - {'windowsizes': [120, 60], 'p_values': [0.8740214438811531, 0.21621972949055046], 'cointegration_vectors': [(0.25639788537194674, 14.924941419595987), (0.3424028054375459, 2.4687545801292026)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.1135031578140993, -2.613573989825141], 'adf_pvalues': [0.7096570714083715, 0.09022412722561013], 'residual_std': [2.0758630806102163, 1.5116655643497983]}
2025-04-19 21:54:13,761 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5865066551774829, 0.23778383169710782], 'cointegration_vectors': [(0.774695738983151, -2.0971137156901247), (0.6964640262583123, 1.8325098033232992)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.881729902408984, -2.5750844367622334], 'adf_pvalues': [0.34070414553962935, 0.0982569198228393], 'residual_std': [1.5869416768995488, 0.7782077250075239]}
2025-04-19 21:54:13,786 - INFO - {'windowsizes': [120, 60], 'p_values': [0.13800812579513594, 0.8188668279397968], 'cointegration_vectors': [(0.6614956732514952, -10.242165632563536), (0.6715271357252307, -10.811920188808656)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.8809440771666073, -1.3239296414160964], 'adf_pvalues': [0.04760924037854184, 0.6181546179657033], 'residual_std': [0.9586609961327801, 1.1069465071543956]}
2025-04-19 21:54:13,811 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5654888851477158, 0.15229171248029788], 'cointegration_vectors': [(0.905497206091311, -14.845768056532334), (0.6970583121110981, -6.131215243561792)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.9193835218395456, -2.8314316489244526], 'adf_pvalues': [0.32299814827759554, 0.05392235078255571], 'residual_std': [1.5205301074113775, 1.0039551629196495]}
2025-04-19 21:54:13,833 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6332213542077586, 0.6097810815277176], 'cointegration_vectors': [(4.213438162449797, -40.50805710048549), (3.4379293746460733, -7.257652776976671)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.7834989387731026, -1.8276765573301006], 'adf_pvalues': [0.3886842366486118, 0.3668101785452237], 'residual_std': [7.019250437029653, 6.911772851236138]}
2025-04-19 21:54:13,865 - INFO - {'windowsizes': [120, 60], 'p_values': [0.195231143039162, 0.5400214933082357], 'cointegration_vectors': [(0.35913490811357496, 34.92851860761036), (0.4199668635401723, 33.2742660185633)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.672140695996643, -1.9316357328743592], 'adf_pvalues': [0.07898445382313796, 0.3173280968960449], 'residual_std': [1.8529102195401392, 2.2881942864500524]}
2025-04-19 21:54:13,891 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5905586556357506, 0.13891379779399082], 'cointegration_vectors': [(8.765131862550422, 33.271430700229274), (18.21565464357816, 18.575499081350657)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8591814351973641, -2.8540252538668374], 'adf_pvalues': [0.3515002103381716, 0.050961394883802295], 'residual_std': [1.8997758916392502, 1.4088012601280522]}
2025-04-19 21:54:13,929 - INFO - {'windowsizes': [120, 60], 'p_values': [0.4768044722454983, 0.6681602438776036], 'cointegration_vectors': [(0.9290120181180446, 33.432074170612786), (0.8791542407437941, 38.89899008986344)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0902922162519326, -1.706810495149158], 'adf_pvalues': [0.24843602493127226, 0.4276069651898585], 'residual_std': [4.628104217214532, 5.805660789787389]}
2025-04-19 21:54:13,951 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6606073316408319, 0.8835952730932183], 'cointegration_vectors': [(0.8487382271545444, 11.032231345390601), (0.7717805556114276, 20.319398618469318)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.7196736173700726, -1.336518833125163], 'adf_pvalues': [0.4210056034641549, 0.6123037857788487], 'residual_std': [4.689601647539587, 5.529980206428172]}
