2025-04-19 23:06:28,959 - INFO - [120, 250, 60]
2025-04-19 23:06:28,982 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.9075406009977589, 0.6321588324816001, 0.845769005057319], 'cointegration_vectors': [(0.8880154880529738, 26.476414811563092), (0.7411372661554397, 44.914241459973894), (0.941642175221277, 17.431909520940238)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-0.8481569404846973, -1.7914749690954463, -1.2001137180408321], 'adf_pvalues': [0.8045656279433682, 0.38470227336407015, 0.6735467913892788], 'residual_std': [1.9143072812312192, 3.07859968989335, 0.8400827191213766]}
2025-04-19 23:06:29,010 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.2009362775948591, 0.03230602904415392, 0.35028091885275137], 'cointegration_vectors': [(1.3570968036409, 104.36700214614609), (1.5551388413296994, 97.42271856200773), (2.713988617382945, 52.07932711099296)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.6632861511689603, -3.4786482863256682, -2.365593889540071], 'adf_pvalues': [0.08060966505990141, 0.008552685341880384, 0.15168362625531517], 'residual_std': [5.784282701763439, 4.653494331864178, 4.490087034288214]}
2025-04-19 23:06:29,047 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.6410467595398621, 0.7658976715150373, 0.19387279833115606], 'cointegration_vectors': [(0.2980254127474941, -10.800979578431924), (0.4175850892714451, -30.438115425476834), (0.25604359302285234, -1.673185647250001)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.2273687944511176, -1.473968785464953, -2.6938833325010534], 'adf_pvalues': [0.6617129535321408, 0.5463470710272043, 0.07510271364945302], 'residual_std': [3.8531169194796915, 3.2703847879181307, 1.6733697334913433]}
2025-04-19 23:06:29,085 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.5747544109917262, 0.16276935422051092, 0.5176850793377215], 'cointegration_vectors': [(1.6567262596193162, 20.64758631066997), (1.144894896462331, 44.951836191636794), (1.410500493777762, 31.274596732316002)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.9006903403046858, -2.8035521269522885, -2.0019352002721096], 'adf_pvalues': [0.3317364225741946, 0.05776816072189833, 0.2857252264669211], 'residual_std': [3.7879314902676255, 3.7973668738700788, 2.8091360936403724]}
2025-04-19 23:06:29,135 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.6179099671723726, 0.1542146043500489, 0.3797740714757515], 'cointegration_vectors': [(0.470380617041931, 43.516572545646184), (0.7016687731343955, 15.938723756342302), (0.41432314647564944, 47.64491327781547)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8158987259869346, -2.831171389370031, -2.2723206814168027], 'adf_pvalues': [0.372597472826793, 0.05395726052166376, 0.1810505351513636], 'residual_std': [4.760584173031274, 4.196349455847405, 4.197883746075163]}
2025-04-19 23:06:29,187 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.4348435261706716, 0.0690849072111325, 0.4094443754884948], 'cointegration_vectors': [(0.5238350912347042, 24.02371861449497), (0.478501397550808, 30.203406409141017), (0.45127199319164435, 32.220230268473735)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.1703842498885653, -3.198368059770667, -2.2100752883398953], 'adf_pvalues': [0.21716927509852657, 0.020079336872463247, 0.20260905199123308], 'residual_std': [3.965154483878985, 3.7760660785179967, 3.445437694687598]}
2025-04-19 23:06:29,223 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.5006876031573267, 0.09147394296812572, 0.2771129196092034], 'cointegration_vectors': [(0.5603131116964811, 27.701135452513952), (0.5977277428154915, 23.303194134770067), (0.5189738669852548, 30.054610784778134)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0436649810687793, -3.077853427427418, -2.482706701101151], 'adf_pvalues': [0.26776158921059334, 0.028236140693589346, 0.11973886822005064], 'residual_std': [4.194753957598669, 4.196125386121436, 3.092472309804127]}
2025-04-19 23:06:29,252 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.33687657256720027, 0.14090233700291427, 0.6465510097011719], 'cointegration_vectors': [(1.860181165739539, 34.97719862571289), (1.3287947061071637, 52.87882203065415), (1.9570146322953685, 29.9295889972297)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.366762831206628, -2.875604325868106, -1.7490883264194137], 'adf_pvalues': [0.15133788884766625, 0.04825931896450085, 0.4060144783100574], 'residual_std': [3.366781701879561, 3.4667289425930865, 2.665227679908457]}
2025-04-19 23:06:29,285 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.8488168836506644, 0.6060715458767003, 0.814949943314231], 'cointegration_vectors': [(0.23095017676320398, -1.5247772364352514), (0.39288021958055896, -16.763144894436344), (0.3678593183690957, -15.114941744953452)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.215652717217533, -1.8438756584200797, -1.328464984071855], 'adf_pvalues': [0.6668263249169891, 0.3589063197857098, 0.6160510474714544], 'residual_std': [1.6243820267666929, 2.075738630616458, 1.5065785628726927]}
2025-04-19 23:06:29,312 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.29352038778175604, 0.06535512151526232, 0.14288897661794725], 'cointegration_vectors': [(1.7120810947757514, 51.212102571956684), (1.301244359451929, 62.25027492702369), (1.923016830369284, 46.369351061449116)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.460361373594439, -3.2231698406906015, -2.85714943321184], 'adf_pvalues': [0.12541905051790225, 0.018682085427185014, 0.0505626676442904], 'residual_std': [3.2379868731663946, 3.382880793295132, 2.5305518447949824]}
2025-04-19 23:06:29,358 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.6605649438844926, 0.550235011207664, 0.4784325751705835], 'cointegration_vectors': [(0.7182961294367726, 61.869974831952064), (1.1031781246488506, 44.7346966203595), (0.6503866153370115, 63.75537489813804)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.728993554861102, -1.9547725359064745, -2.075656422593186], 'adf_pvalues': [0.4162394191956014, 0.3067488174102582, 0.254415252917923], 'residual_std': [4.644432085623812, 5.6380289843085105, 3.4721878938052093]}
